Time [Sec],Li7,Be9,B11,Mg24,Al27,Si28,Ca43,Sc45,Ti47,V51,Cr52,Mn55,Fe56,Fe57,Co59,Ni60,Cu63,Zn66,Ga71,As75,Sr88,Y89,Zr90,Nb93,Cd111,Sn118,Sb121,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Ta181,Pb208,Bi209,Th232,U238
3.4125,10,0,120,0,0,86246.92,0,20,10,20,120,100,6501.43,0,0,20,0,0,0,120,0,0,0,0,0,1480.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0
6.7266,0,0,60,0,100,68154.29,0,30,0,0,200,140,5701.1,0,0,0,0,0,0,200,0,0,0,0,0,1960.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0406,0,0,60,0,100,79208.32,100,30,10,0,240,80,5501.03,100,0,0,0,20,0,100,0,0,0,0,0,1640.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.3547,10,0,70,0,300,86246.92,0,25,0,0,220,60,6901.62,100,0,20,0,0,0,140,0,0,0,0,0,1600.09,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
16.6687,0,0,90,0,0,91276.52,0,15,30,0,240,180,5400.99,0,0,20,0,0,0,80,0,0,0,0,0,1800.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
19.9827,0,0,60,0,0,79208.32,0,35,0,0,200,140,6501.43,100,0,0,0,0,10,200,0,0,0,0,0,1520.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.2968,10,0,0,100,200,82224.45,100,50,0,20,240,160,5200.92,0,0,40,0,0,0,120,0,0,0,0,0,1680.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.6108,10,0,90,0,100,101340.74,0,10,0,0,180,300,7201.76,0,0,20,0,0,0,160,0,0,0,0,0,1700.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.9249,0,0,40,0,200,71168.21,0,30,10,0,200,40,4200.6,100,0,0,0,0,0,100,0,0,0,0,0,1480.08,10,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,10,0,0,0
33.2389,0,0,10,0,100,91276.52,0,30,10,0,180,160,5400.99,0,0,0,0,0,0,140,0,0,0,0,0,1520.08,10,0,0,0,0,0,0,0,0,0,16079.42,12615.8,41532.94,8472.63,32418.51,46489.44,20085.09,25955.22,36891.64,39198.51
36.553,3510.4,790.02,380,3600.43,450759.63,5292926.51,14406.98,5801.13,440.01,6821.57,6741.54,10864,17910.88,300,14787.43,3440.4,8982.75,1000.03,5240.94,1160.05,31895.24,25322.23,15258.08,31694.91,1220.05,13946.88,12795.8,52739.53,52599.07,69251.73,9503.25,9963.58,36063.66,11755.01,76344.4,16740.2,69535.8,24451.79,70883.14,17150.76,65215.64,83435.55,41955.81,54892.67,69684.03,87591.62
39.867,6671.46,1280.05,710.02,6501.4,674085.02,11628412.53,27425.28,8682.54,780.02,13586.24,12585.36,14827.45,21014.98,300,18391.5,4200.6,12225.09,1520.08,6401.4,1560.08,40276.17,23188.64,14497.29,29931.13,1100.04,12865.85,10814.14,42865.78,48423.97,55309.6,8902.85,8222.44,28145.29,9136.36,54892.54,12565.75,54849.44,17290.9,54839.68,12806,48847.37,62744.63,26846.96,38365.07,50938.4,60077.33
43.1811,6001.18,1220.05,600.01,5601.04,612949.13,6719691.09,19713.06,6801.56,450.01,10103.45,10423.68,11244.29,16108.8,400.01,13626.31,3460.41,8342.37,1120.04,4970.85,1040.04,26925.11,19463.14,12555.47,25562.71,700.02,7942.23,7522,32718.33,32858.69,35765.86,6961.74,6841.69,23820.51,7618.77,45792.69,9903.57,44160.98,15919.24,48465.69,11024.45,46589.49,49259.18,18963.46,29282.09,42368.1,39138.33
46.4951,3740.46,730.02,460.01,5000.83,518388.39,5729729.71,14807.37,5911.18,330,6521.44,5220.92,6281.34,15908.58,400.01,8562.49,2300.18,6831.59,760.02,3360.39,540.01,20604.71,14777.57,9533.15,18571.99,620.01,8042.29,6441.47,26645.43,24281.13,29411.02,5281,5641.15,19430.31,6501.53,46177.3,8912.89,40579.94,13957.1,41452.7,7492.05,29832.61,39697.94,16009.59,20655.97,29212.39,28370.66
49.8092,3230.34,520.01,430.01,2800.26,369179.18,4016810.11,12505.26,4805.78,310,5541.04,5801.14,7481.9,13306.01,100,8242.31,2200.16,6351.38,840.02,2910.29,660.01,18612,14257.05,9062.85,14527.34,540.01,7522,4670.77,18211.88,20755.44,26084.4,4280.66,3820.53,14857.98,4934.22,33908.37,7682.15,29261.18,11084.48,30413.77,7351.98,33491.1,39517.42,14517.89,19454.17,32199.35,34204.56
53.1232,3810.48,610.01,220,3700.45,338877.84,3707265.45,9503.04,4430.66,370,5861.16,5701.1,5661.09,13105.83,500.01,7722.03,1580.08,5541.05,560.01,2860.28,740.02,15488.31,11604.67,7892.16,15548.41,510.01,6581.53,4800.82,23640.02,27647.39,30052.38,4940.88,3740.5,14290.72,3917.22,24989.32,7622.11,31055.11,10383.93,32799.27,7281.94,29321.5,36970.26,12545.89,17661.68,28851.6,28951.93
56.4373,3180.33,590.01,400.01,2700.24,359959.55,4121527.15,12805.51,4075.56,220,5120.89,5601.06,5841.16,13606.28,200,7702.02,2000.14,3780.49,380,2340.19,640.01,16349.26,13025.88,6811.61,13386.23,430.01,5961.26,4560.74,18392.12,24361.27,26946.04,4500.73,3400.42,13656.74,4017.25,29932.5,7391.99,31666.51,9863.55,30844.73,6711.65,24522.04,29762.58,12575.92,14758.16,27729.19,27468.74
59.7513,2980.29,660.01,420.01,3700.45,318233.82,3708841.13,10003.36,3720.47,330,4640.73,5801.14,5200.92,13906.56,200,8562.49,1940.13,4640.73,520.01,2840.28,840.02,16959.97,11404.51,7281.84,12565.49,500.01,5581.1,4580.74,19453.56,24782.01,25222.82,4200.64,4880.86,15992.58,4183.97,32521.7,6951.76,29792.32,9723.45,29501.77,6261.43,28108.95,26205.26,10964.5,16700.44,28651.16,24262.43
63.0653,2800.26,430.01,340,3000.3,324873.64,3057875.83,10403.64,3660.45,290,4780.77,5701.1,5040.86,12305.14,400.01,6601.48,1700.1,4990.85,580.01,2340.19,460.01,15388.21,10503.83,6311.38,12865.76,340,6601.54,4210.63,18512.28,17390.84,19894.2,3320.4,3220.37,11788.36,3683.83,29247.7,6261.43,28229.02,10073.7,28549.76,6651.62,25573.97,32288.34,12535.88,18022.16,26666.99,23300.69
66.3794,2350.18,390,340,2100.15,273567.29,3225616.55,8902.67,3540.42,320,4500.68,4820.79,4640.73,11504.49,200,5621.07,1720.1,3780.49,500.01,2120.15,720.02,14847.64,8592.56,6001.25,12745.65,290,5321,3590.46,14587.63,18992.93,20334.83,4280.66,3500.44,12355.52,3683.83,26725.91,6431.51,27046.64,8512.64,33210.26,5961.3,26806.34,28329.52,10514.14,13777.11,26787.24,23841.66
69.6934,2690.24,500.01,340,3800.48,285282.06,3072298.68,8602.49,3355.38,330,4040.55,5441,4760.77,12004.89,200,5641.08,1540.08,3780.49,580.01,2020.14,700.02,15177.98,11884.9,6621.52,10724,300,5621.12,3980.56,16649.93,20495.06,19894.2,3620.47,3360.41,12055.26,3500.44,21249.72,4800.84,21957.56,8612.7,28910.51,6041.34,21356.72,29832.73,11635.07,15128.57,26707.07,26386.53
73.0075,2500.21,310,380,3600.43,319255.16,3425960.29,9703.17,3185.34,280,3320.37,3920.52,4440.67,11404.41,300,6101.27,1880.12,3730.47,420.01,2090.15,520.01,14367.15,9743.29,6291.37,10323.71,490.01,5421.04,3000.32,14347.38,15328.43,18852.75,4260.65,3040.33,13790.21,3567.13,20515.27,5050.93,24041.05,6371.48,25343.45,5601.15,19564.03,27758.34,10594.2,13767.1,17371.46,17251.34
76.3215,1840.11,370,300,2100.15,279678.23,2821293.57,8102.21,2830.27,320,4240.61,4780.77,4560.71,12104.97,300,5661.09,1400.07,3170.34,240,2330.19,480.01,12875.75,8882.74,5240.95,9783.33,380.01,5381.02,3780.51,12845.91,14667.71,14067.1,3060.34,2480.22,10654.1,2733.6,22434.93,5531.11,24892.57,8342.54,22197.99,4970.9,21917.61,25513.95,10113.83,12435.79,22238.78,20496.01
