Time [Sec],Na23,Mg24,P31,S34,Ca44,Mn55,Sr88,Ba137,La139,Ce140,Pr141,Nd146,Eu153,Gd157,Dy163,Ho165,Er166
1.5466,67470.69,120,120,170,400.01,80,0,0,0,0,0,0,0,0,0,0,0
3.0466,67782.08,50,80,80,500.01,60,0,0,0,0,0,0,0,0,0,0,0
4.5466,68515.38,60,110,140,400.01,50,0,0,0,0,0,0,0,0,0,0,0
6.0466,66737.43,60,80,130,560.01,50,0,0,0,0,0,0,0,0,0,0,0
7.5467,67561.09,110,130,80,640.01,60,0,0,0,0,0,0,0,0,0,0,0
9.0467,67982.98,70,120,70,320,110,0,0,0,0,0,0,0,0,0,0,0
10.5467,67842.35,120,60,150,580.01,60,0,0,0,0,0,0,0,0,0,0,0
12.0467,67028.72,70,90,60,500.01,110,0,0,295.92,2000.14,940.03,1660.1,430.01,420.01,300,140,160
13.5467,70012.24,35812.53,50,110,143610.87,19903.42,287742.63,260,17470.12,55911.93,8252.44,6301.43,980.03,840.03,700.02,410.01,280
15.0468,74101.72,50675.11,230,120,99673.29,14947.57,320625.47,180,16295.23,38854.08,4570.75,3660.48,480.01,350,180,180,150
16.5468,70946.6,57911.12,150,100,148841.98,23849.27,337299.47,190,14098.96,38152.15,5751.19,4970.89,810.02,590.01,430.01,270,360
18.0468,70866.21,50564.74,50,40,120204.4,17059.86,239065.51,150,12628.16,33640.55,5110.94,4290.66,890.03,630.01,470.01,400.01,300
19.5468,71187.72,56947.46,170,90,170573.77,22557.24,287844.64,170,7389.71,20014.36,2340.2,1590.09,150,280,230,90,140
21.0468,71067.16,16158.66,60,150,99572.62,13195.9,110723.49,160,2336.93,9303.1,1630.1,1460.08,350,230,290,90,80
22.5468,67551.04,18351.17,160,130,95787.85,14156.79,144116.62,20,3541.27,9403.17,1780.11,1140.05,210,120,90,70,140
24.0469,69067.9,122173.53,70,130,132690.01,21816.13,200179.94,90,4072.02,10704.11,2100.16,1500.08,230,220,110,170,140
25.5469,67631.41,33998.33,130,160,108958.14,15458.1,185687.97,40,3694.37,8502.59,1570.09,1000.04,130,170,170,50,170
27.0469,69329.09,25401.4,80,140,95888.49,14527.15,189841.52,110,3857.68,8502.59,1510.08,1440.07,240,230,260,170,210
28.5469,68635.93,37025.45,1930.12,160,143388.74,17660.57,216919.44,130,14854.85,54205.21,9343.13,9363.16,1410.07,1240.06,690.02,310,310
30.0469,76131.8,6411.36,31322.69,110,88020.01,2420.2,163117.44,150,45871.23,112149.42,17390.85,13376.44,1660.1,1340.07,820.02,430.01,250
31.5469,74423.3,830.02,32886.04,80,80236.11,1250.05,121308.13,70,39678.82,95224.2,18582.39,13676.73,1600.09,1490.08,820.02,320,280
